,id,area,space,equipment,type,room,city,state,price,capacity,extra
0,39,600,300,12,ویلایی,3,نمک آبرود,مازندران,500000,8,7
1,52,312,75,9,ویلایی,1,طالقان,البرز,250000,4,2
2,79,114,85,10,آپارتمان,1,کاشان,اصفهان,100000,4,6
3,87,400,200,12,ویلایی,3,نمک آبرود,مازندران,1000000,6,6
4,101,500,120,8,آپارتمان,2,نمک آبرود,مازندران,250000,5,0
5,120,300,200,11,ویلایی,3,چالوس,مازندران,1200000,6,2
6,157,500,200,10,ویلایی,3,کلاردشت,مازندران,800000,4,11
7,209,200,80,9,آپارتمان,2,مشهد,خراسان رضوی,120000,4,4
8,215,600,80,8,ویلایی,1,بابل,مازندران,390000,6,4
9,219,1000,200,11,ویلایی,3,چالوس,مازندران,850000,6,4
10,222,150,150,12,ویلایی,2,چالوس,مازندران,1000000,4,1
11,229,290,80,12,ویلایی,1,طالقان,البرز,450000,3,3
12,230,600,180,12,ویلایی,3,طالقان,البرز,990000,6,6
13,232,350,220,11,ویلایی,3,نوشهر,مازندران,600000,6,4
14,236,1200,600,13,ویلایی,5,سرخ رود,مازندران,2200000,8,12
15,264,500,135,11,ویلایی,3,فومن,گیلان,340000,4,5
16,284,100,40,11,آپارتمان,0,لاهیجان,گیلان,200000,2,2
17,287,160,119,11,آپارتمان,2,اصفهان,اصفهان,219000,3,5
18,288,200,100,9,آپارتمان,1,اصفهان,اصفهان,199000,3,5
19,309,5000,80,9,ویلایی,1,سواد کوه,مازندران,300000,4,3
20,384,350,108,9,سوئیت,2,رامسر,مازندران,132000,5,5
21,403,150,90,8,ویلایی,1,اردبیل,اردبیل,300000,4,1
22,413,500,100,10,ویلایی,2,کلاردشت,مازندران,220000,4,8
23,418,2500,210,9,آپارتمان,1,فومن,گیلان,210000,4,0
24,431,3000,100,11,ویلایی,2,رامسر,مازندران,425000,4,4
25,473,300,100,10,ویلایی,2,تالش,گیلان,300000,6,2
26,481,300,220,11,ویلایی,4,زیباکنار,گیلان,400000,8,4
27,504,120,120,9,ویلایی,2,زیباکنار,گیلان,250000,4,4
28,506,230,120,10,ویلایی,2,زیباکنار,گیلان,230000,4,3
29,509,280,180,11,ویلایی,4,زیباکنار,گیلان,400000,8,4
30,511,180,118,10,آپارتمان,2,همدان,همدان,300000,4,4
31,515,202,260,13,ویلایی,3,سرخ رود,مازندران,1200000,6,4
32,544,125,80,11,ویلایی,1,مشهد,خراسان رضوی,160000,4,4
33,601,600,80,9,ویلایی,1,ماسال,گیلان,240000,4,2
34,733,1000,133,12,ویلایی,2,ماسال,گیلان,360000,6,4
35,756,230,120,9,ویلایی,2,لاهیجان,گیلان,250000,4,3
36,819,2000,100,11,ویلایی,2,ماسال,گیلان,400000,4,3
37,824,150,100,10,ویلایی,2,فومن,گیلان,350000,4,2
38,846,350,60,10,ویلایی,1,تبریز,آذربایجان شرقی,300000,4,4
39,853,400,200,9,ویلایی,1,اصفهان,اصفهان,450000,2,4
40,860,120,68,9,سوئیت,2,لاهیجان,گیلان,150000,4,2
41,871,200,50,7,آپارتمان,1,مشهد,خراسان رضوی,150000,2,3
42,872,200,50,7,آپارتمان,1,مشهد,خراسان رضوی,150000,2,3
43,874,200,50,7,آپارتمان,1,مشهد,خراسان رضوی,150000,2,3
44,883,400,350,12,ویلایی,4,سرخ رود,مازندران,1250000,8,7
45,884,350,300,12,ویلایی,4,سرخ رود,مازندران,900000,6,0
46,904,50,35,9,آپارتمان,0,کاشان,اصفهان,78000,3,2
47,908,1000,150,11,ویلایی,2,ماسال,گیلان,222000,4,13
48,911,500,60,9,ویلایی,1,رامسر,مازندران,150000,4,0
49,929,1000,100,11,ویلایی,2,نوشهر,مازندران,300000,5,1
50,949,200,110,6,ویلایی,2,فیروزکوه,تهران,350000,6,4
51,965,300,55,10,ویلایی,1,بندرانزلی,گیلان,350000,2,2
52,972,1000,200,11,ویلایی,2,مشهد,خراسان رضوی,700000,4,2
53,977,2000,500,14,ویلایی,6,دماوند,تهران,2500000,10,10
54,1066,350,60,10,ویلایی,1,تبریز,آذربایجان شرقی,300000,4,4
55,1116,2010,110,12,ویلایی,2,شیراز,فارس,700000,5,7
56,1124,700,85,11,ویلایی,1,شیراز,فارس,300000,3,5
57,1156,220,120,10,آپارتمان,2,اصفهان,اصفهان,220000,4,4
58,1176,300,150,9,ویلایی,3,فومن,گیلان,395000,4,8
59,1221,400,110,8,ویلایی,2,لاهیجان,گیلان,200000,4,6
60,1306,950,60,10,ویلایی,1,فریدون کنار,مازندران,540000,3,1
61,1308,950,84,10,ویلایی,2,فریدون کنار,مازندران,697000,4,0
62,1309,950,84,10,ویلایی,2,فریدون کنار,مازندران,627000,4,1
63,1310,950,84,12,ویلایی,2,فریدون کنار,مازندران,627000,4,1
64,1311,950,40,10,سوئیت,0,فریدون کنار,مازندران,207000,2,1
65,1314,950,82,11,ویلایی,2,فریدون کنار,مازندران,627000,5,1
66,1315,60,60,11,ویلایی,1,فریدون کنار,مازندران,357000,3,0
67,1337,200,130,9,آپارتمان,2,تبریز,آذربایجان شرقی,200000,5,5
68,1338,200,130,9,آپارتمان,2,تبریز,آذربایجان شرقی,150000,6,4
69,1387,200,80,9,آپارتمان,2,ساری,مازندران,350000,4,6
70,1388,200,70,8,آپارتمان,2,ساری,مازندران,230000,4,6
71,1399,200,90,9,آپارتمان,2,ساری,مازندران,230000,4,6
72,1400,200,95,10,آپارتمان,2,ساری,مازندران,200000,4,6
73,1450,500,120,11,ویلایی,3,ماسال,گیلان,450000,6,4
74,1498,200,120,10,آپارتمان,1,اصفهان,اصفهان,250000,4,6
75,1607,700,20,7,بوم‌گردی,1,شاهرود,سمنان,40000,1,4
76,1617,100000,50,6,سوئیت,2,ماسال,گیلان,360000,8,2
77,1627,20000,8,5,سوئیت,0,یزد,یزد,320000,4,0
78,1656,550,150,12,ویلایی,2,تالش,گیلان,1650000,4,6
79,1659,2000,450,11,ویلایی,6,آستارا,گیلان,3300000,8,13
80,1680,1500,100,10,ویلایی,2,تنکابن,مازندران,278000,5,1
81,1687,2000,200,10,ویلایی,2,تنکابن,مازندران,890000,4,6
82,1719,2000,45,11,سوئیت,1,آستارا,گیلان,200000,2,1
83,1725,2000,50,11,ویلایی,1,آستارا,گیلان,300000,2,1
84,1732,6000,200,14,ویلایی,4,کردان,البرز,3000000,8,12
85,1761,900,160,12,ویلایی,3,تالش,گیلان,1700000,6,3
